osm_id,mapillary_coverage
580577026,regular
580577022,regular
577308554,regular
577550959,regular
577662185,regular
577845648,regular
578027283,regular
578027296,regular
578027309,regular
578027312,regular
578059504,regular
578066627,regular
578066628,regular
578111256,regular
580577025,regular
578213816,regular
579315689,regular
579315693,regular
579318080,regular
579318082,regular
579318086,regular
579363378,regular
579405091,regular
579501415,regular
579560202,regular
579560203,regular
579560206,regular
580539487,regular
578228655,regular
584883597,regular
584883600,regular
584883601,regular
588779370,regular
589056774,regular
589056775,regular
589056776,regular
589056777,regular
589056778,regular
589056779,regular
589063627,regular
589063628,regular
589064894,regular
589088938,regular
589088941,regular
588778707,regular
589578581,regular
589946192,regular
589946199,regular
589961224,regular
589963905,regular
590106302,regular
590244981,regular
591007105,regular
591047276,regular
591047277,regular
591047280,regular
591047281,regular
591047283,regular
589578582,regular
588481912,regular
588481911,regular
588481910,regular
584982418,regular
585399207,regular
585438940,regular
585462832,regular
585462833,regular
585462834,regular
585462835,regular
585779321,regular
585959802,regular
586596719,regular
586700207,regular
586701734,regular
586703455,regular
586734014,regular
586734017,regular
586734019,regular
587030094,regular
587030095,regular
587259878,regular
587346679,regular
587953658,regular
587953660,regular
587953661,regular
587953663,regular
587953665,regular
587953666,regular
587953670,regular
577304913,regular
591417658,regular
575457837,regular
572671032,regular
550518803,regular
550518804,regular
550518805,regular
550518806,regular
550518807,regular
550518808,regular
550518809,regular
550518811,regular
550667958,regular
550668480,regular
550668481,regular
550668482,regular
550509304,regular
550668483,regular
551474852,regular
551503820,regular
551503821,regular
553636158,regular
555833256,regular
555833257,regular
555833258,regular
556232496,regular
556232497,regular
556524106,regular
556524107,regular
556847455,regular
550708624,regular
558093571,regular
550509300,regular
550471944,regular
542940092,regular
543390743,regular
543390744,regular
544154905,regular
544164063,regular
544661016,regular
545555392,regular
545666925,regular
545710952,regular
545710953,regular
545727852,regular
545727853,regular
550471945,regular
545744034,regular
546913649,regular
547520071,regular
547520072,regular
548559028,regular
548632258,regular
548851515,regular
548961527,regular
549725524,regular
549823882,regular
549901816,regular
550471942,regular
550471943,regular
546913648,regular
558108111,regular
558108112,regular
558811929,regular
565159015,regular
565159016,regular
565159017,regular
565159018,regular
565159019,regular
565159020,regular
565538007,regular
565538008,regular
565538542,regular
565538543,regular
565538544,regular
565538545,regular
565159014,regular
565538546,regular
565543805,regular
566288010,regular
566288013,regular
566288014,regular
566727552,regular
566727553,regular
566737310,regular
567164624,regular
568826342,regular
569908266,regular
569908268,regular
570399228,regular
565543801,regular
564458856,regular
564458855,regular
564458848,regular
559136702,regular
559476509,regular
559476514,regular
561363217,regular
562451615,regular
562888612,regular
562888615,regular
562888616,regular
563684957,regular
563730343,regular
563872894,regular
563872900,regular
563880678,regular
563883402,regular
563889336,regular
563893834,regular
563939695,regular
563939697,regular
563939699,regular
563939702,regular
563942964,regular
563942965,regular
564105883,regular
564105884,regular
564439698,regular
564439701,regular
564458847,regular
572673752,regular
591417660,regular
591417662,regular
591417665,regular
641756097,regular
641756098,regular
641966708,regular
641979588,regular
641979589,regular
641979590,regular
642119198,regular
642119210,regular
642119211,regular
642119212,regular
642820302,regular
643499221,regular
641756096,regular
643499222,regular
645030011,regular
645704222,regular
646453033,regular
646491255,regular
647275831,regular
647825752,regular
648508795,regular
648508798,regular
648508799,regular
648708306,regular
648735058,regular
650904902,regular
645030009,regular
650904903,regular
641756095,regular
641756089,regular
634917037,regular
634917059,regular
637578424,regular
637578425,regular
637578426,regular
637578429,regular
637578431,regular
637578432,regular
637578440,regular
639052329,regular
639516665,regular
639516666,regular
641756094,regular
639516667,regular
639516669,regular
639516672,regular
639516673,regular
639516674,regular
640262537,regular
640262539,regular
640262547,regular
640262553,regular
640550397,regular
640550403,regular
640550405,regular
641344392,regular
639516668,regular
651647798,regular
652131495,regular
653611974,regular
662506080,regular
662629229,regular
662629230,regular
662629232,regular
662629234,regular
663751247,regular
663751249,regular
663751250,regular
663751252,regular
664235158,regular
664243623,regular
664249385,regular
662300435,regular
664502284,regular
665159236,regular
665159237,regular
666365994,regular
666596152,regular
666878017,regular
666878778,regular
666878779,regular
666879848,regular
667417664,regular
667750558,regular
667750559,regular
667781235,regular
665145182,regular
661035124,regular
661028237,regular
661028229,regular
653624972,regular
653624974,regular
653712767,regular
653752675,regular
654219064,regular
654219065,regular
654819459,regular
654819474,regular
654819475,regular
655104337,regular
655234358,regular
655234359,regular
655234360,regular
655234363,regular
655234364,regular
656604832,regular
656611659,regular
656611660,regular
656814325,regular
657343158,regular
660104427,regular
660104451,regular
